"ids","historical","fake_risk"
2023330,1,0.418287516757846
6600694,1,0.415212246961892
6483471,1,0.467895205505192
6610413,1,0.461768192891032
8748235,1,0.503389596287161
6762792,1,0.745428032893688
1085461,1,0.641186772473156
3092952,1,0.456523445434868
6994748,1,0.444516183342785
5628255,1,0.470931224990636
7242314,1,0.424219241458923
5904767,1,0.551815061550587
3544598,1,0.712338826805353
9310889,1,0.737233459297568
3630838,1,0.784254368394613
8535648,1,0.544591963570565
3576004,1,0.76876173261553
3401382,1,0.638852578960359
2680501,1,0.440877923183143
3090028,1,0.683691297098994
3849505,1,0.440976808499545
3724233,1,0.777812769450247
2431410,1,0.712204899266362
1359962,1,0.617790053691715
2969190,1,0.579029347654432
8295366,1,0.428371631819755
5731264,1,0.635005558934063
9231898,1,0.414406789559871
8482082,1,0.633858968410641
1411931,1,0.410847481805831
5104809,1,0.745120274834335
3386671,1,0.700018444936723
3742040,1,0.53126814076677
5565745,1,0.44371524322778
2629859,1,0.793262990377843
7837009,1,0.784780465811491
2811225,1,0.522903888020664
3329278,1,0.597615172620863
9929316,1,0.76706923218444
8266139,1,0.638926728442311
5979980,1,0.699120797030628
6817628,1,0.747856599837542
3806405,1,0.532363787759095
6596346,1,0.742447468452156
3967917,1,0.504015561845154
5517954,1,0.752635713852942
7093819,1,0.551604119781405
5364898,1,0.481705520860851
3195347,1,0.635173336882144
7889100,1,0.460088964179158
1664015,1,0.488441986590624
3787163,1,0.700518705882132
7455408,1,0.5110092475079
5540886,1,0.566898906882852
2376982,1,0.435164619795978
5535373,1,0.730542541854084
5445620,1,0.509240523912013
7760758,1,0.707957191206515
2571838,1,0.783164117671549
8635481,1,0.492789317108691
8783452,1,0.647793355863541
1376712,1,0.590360546670854
3854619,1,0.792464783322066
1123748,1,0.580179011356086
3151216,1,0.5085942434147
7358405,1,0.400919403508306
3772832,1,0.746588428039104
5576894,1,0.448991379607469
1464816,1,0.759897536877543
6081089,1,0.554371303226799
2093313,1,0.756373179424554
9035464,1,0.704303141310811
1131644,1,0.407292183674872
8048032,1,0.515989868529141
1809645,1,0.526854239683598
5672670,1,0.607299436163157
4458370,1,0.434400765504688
1630467,1,0.581115390732884
